1960,498823
1961,503762
1962,509348
1963,515762
1964,523236
1965,531901
1966,541895
1967,553098
1968,565080
1969,577241
1970,589165
1971,600692
1972,611990
1973,623375
1974,635318
1975,648174
1976,662036
1977,676829
1978,692535
1979,709092
1980,726454
1981,744624
1982,763639
1983,783527
1984,804319
1985,826025
1986,848654
1987,872158
1988,896429
1989,921314
1990,946703
1991,972539
1992,998823
1993,1025559
1994,1052772
1995,1080477
1996,1108698
1997,1137412
1998,1166525
1999,1195919
2000,1225527
2001,1255299
2002,1285318
2003,1315820
2004,1347125
2005,1379465
2006,1412907
2007,1447388
2008,1482843
2009,1519155
2010,1556222
2011,1594034
2012,1632572
2013,1671711
